num_senders=24, num_recvers= 8 , send_seed= 1 , recv_seed= 17 , outputs=[4.111313 4.111313 4.111257 4.107891 4.107903 4.107847 4.111874 4.111804 4.111880 4.114332 4.114325 4.114224 4.111540 4.111679 4.111685 4.106948 4.106898 4.106803 4.109293 4.109343 4.109343 4.107972 4.107859 4.107941]
num_senders=24, num_recvers= 12 , send_seed= 1 , recv_seed= 18 , outputs=[6.157172 6.157243 6.091572 6.091212 6.149499 6.149738 6.098533 6.098657 6.105468 6.105010 6.150865 6.151232 6.143320 6.143334 6.096040 6.095874 6.142112 6.142083 6.153164 6.153248 6.126411 6.126314 6.149654 6.149161]
num_senders=24, num_recvers= 4 , send_seed= 1 , recv_seed= 18 , outputs=[2.059996 2.059998 2.059998 2.059996 2.059996 2.060004 2.062000 2.062004 2.062003 2.062004 2.062004 2.062004 2.061491 2.061536 2.061493 2.061539 2.061491 2.061491 2.059867 2.059870 2.059868 2.059900 2.059868 2.059867]
num_senders=24, num_recvers= 6 , send_seed= 1 , recv_seed= 18 , outputs=[3.089919 3.089883 3.089887 3.089883 3.089947 3.090001 3.089951 3.089954 3.089528 3.089531 3.089560 3.089531 3.090876 3.090904 3.090879 3.090897 3.089097 3.089112 3.089119 3.089119 3.087729 3.087747 3.087736 3.087736]
num_senders=24, num_recvers= 8 , send_seed= 1 , recv_seed= 18 , outputs=[4.110262 4.110142 4.110149 4.110111 4.109922 4.109966 4.105353 4.105353 4.105422 4.115164 4.115114 4.115164 4.114111 4.113966 4.114105 4.114672 4.114666 4.114660 4.105371 4.105296 4.105365 4.108853 4.108897 4.108897]
num_senders=24, num_recvers= 12 , send_seed= 1 , recv_seed= 1 , outputs=[6.107343 6.107232 6.141198 6.141521 6.137281 6.137056 6.149907 6.149893 6.114424 6.114285 6.150288 6.150090 6.152219 6.151824 6.132542 6.132402 6.145922 6.146204 6.146682 6.146725 6.143869 6.143644 6.129083 6.129195]
num_senders=24, num_recvers= 24 , send_seed= 1 , recv_seed= 1 , outputs=[12.057524 12.150029 12.079336 12.054113 12.098172 12.149259 12.162360 12.073468 12.068474 12.129277 12.052544 12.096700 12.061696 12.168921 12.151459 12.125442 12.088638 12.054330 12.138107 12.147115 12.154265 12.105046 12.063105 12.051948]
num_senders=24, num_recvers= 4 , send_seed= 1 , recv_seed= 1 , outputs=[2.057609 2.057606 2.057611 2.057609 2.057609 2.057609 2.060003 2.060001 2.060001 2.060001 2.060001 2.060003 2.060501 2.060501 2.060515 2.060502 2.060504 2.060510 2.061583 2.061569 2.061582 2.061582 2.061582 2.061582]
num_senders=24, num_recvers= 6 , send_seed= 1 , recv_seed= 1 , outputs=[3.089133 3.089200 3.089144 3.089144 3.090580 3.090545 3.090566 3.090548 3.091506 3.091442 3.091481 3.091445 3.091883 3.091930 3.091883 3.091887 3.089033 3.089037 3.089058 3.089069 3.091680 3.091698 3.091680 3.091695]
num_senders=24, num_recvers= 8 , send_seed= 1 , recv_seed= 1 , outputs=[4.107627 4.107715 4.107602 4.111685 4.111597 4.111672 4.110747 4.110696 4.110784 4.117310 4.117304 4.117228 4.098270 4.098114 4.098120 4.114414 4.114502 4.114414 4.116565 4.116496 4.116565 4.115044 4.115044 4.114943]
